FRCODE,FRNAME
001,AVENTURA HARBOR APTS
002,PINNACLE PARK APTS
003,ROYAL PALMS
004,COUNTRY CLUB TOWERS APTS
005,INTERNATIONAL CLUB APTS
006,LAGO CLUB APTS
007,SUNSET GARDENS APTS
008,BLUE RIVIERA APTS
009,FOUNTAINEBLEAU GARDENS
010,PINNACLE PLACE APTS
011,FONTAINBLEAU MILTON APTS
014,LOS SUENOS APTS
016,THE MINORCA
017,MANORS OF INVERRARY
020,PINNACLE SQUARE APTS
021,INTRACOSTAL
022,PINNACLE VIEW APTS
023,DOUGLAS POINTE APT
024,FRIENDSHIP TOWERS APRTS
025,PINNACLE LAKES
026,RAYOS DEL SOL APTS
028,OLD CUTLER VILLAGE APTS
029,PINNACLE PLAZA APTS
030,CAMACOL APARTMENTS
031,SAN MARCOS VILLAS MIAMI
032,LUSH APARTMENTS
033,BLUE RIBBON DTV FAMILY BULK
034,GABLES WAY CONDOS
035,GOVENORS LODGE CONDO
036,KEY ISLANDER CONDOS
037,KEYSTONE HARBOR
038,OCEAN DRIVE MANOR
039,OCEAN FIVE CONDOMINIUM
040,SERENITY ON THE RIVER DTV FAMILY BULK
041,SHORE CLUB A
042,SHORE CLUB B
043,FM APTS DTV FAMILY BULK
044,"YACHT HARBOUR DTV CHO XTRA HBO, HD BULK"
045,7400 FISHER BUILDING COND
046,BAL HARBOUR TOWER
049,BAYSIDE VILLAGE #24
050,BAYSIDE VILLAGE #25
051,BAYVIEW 1
052,5000 FISHER ISLAND BLDG
053,BAYVIEW AT FISHER ISLAND
055,CHERRY GROVE VILLAGE APTS
056,CORAL PLAZA CONDOS
058,CRESCENT HOUSE APARTMENTS
059,EXECUTIVE APARTMENTS
060,FOUNTAIN HOUSE 1
061,MEADOW WALK APARTMENTS
064,MONTSERRAT APARTMENTS
065,NEW BARN APARTMENTS
066,7600 FISHER ISLAND DR (OCEAN SIDE)
067,OCEANSIDE V
068,OCEANSIDE 4
069,OCEANSIDE II
070,OCEANSIDE III
071,PALACE AT BAL HARBOUR
072,THE S TWR AT PORTO VITA
073,RESIDENCES AT LAKE HOUSE
074,ROYALTON ON THE GREEN APT
076,ST TROPEZ APARTMENTS
077,THE SYMPHONY NORTH TOWERS
078,THE SYMPHONY SOUTH TOWERS
079,VILLAGIO ON PALM BAY APTS
080,SOUTHGATE TOWERS APARTMENTS
081,MANORS TW HOMES
082,MANORS OF INVERRARY XII
083,MANORS CONDO1
084,LAS VISTAS
085,TOWN CENTER
086,"5801Sunrise Property/5901,5831,5821,5801"
088,800 NE 14TH PL
089,CITY 24
090,HOTELS
092,SOFA DELREY
093,KING'S TERRACE
094,MIAMI 790
095,TOWN UNIVERSITY (DAVID)
096,TCG FLAGLER'S
097,PALM CLUB WEST VILLAGE
098,1640 N DIXIE HIGHWAY
099,LUSH LAKE SIDE CONDO
100,5941 LUSH
101,"SUNRISE CONDO GROUP/5960, 5980"
102,2221 LUSH APARTMENTS
103,Palm Towers Manors
104,PALM TOWERS EMERALD
105,MANORS CONDO XI
112,VALIANT HOUSE
114,5971 LUSH
115,PINNACLE HEIGHTS
116,VILLA BELLINI CONDOMINIUM
117,"LUSH SUNRISE LAKES /5870,5890,5850,5880"
118,HOSTEEVA Intracostal Yacht Club
123,HIDDEN PINES
124,DIXIE COURT (Fortlauderdale Housing A)
131,KEY COLONY NO.2
132,SHORE CLUB C
133,BISCAYNE GARDENS TOWNHOMES
134,THE WAVE CONDOMINIUM ASSOCIATION
135,LUXURIA (THE WAVE COMMERCIAL)
136,SUNPOINTE SPRINGS CONDOMINIUM
137,321 AT WATERS EDGE
138,Country Club Apartments at Bonaventure 2
139,MARQUIS RESIDENCE
140,COUNTRY CLUB APARTMENTS BUILDING 5
144,BRISTOL TOWER
150,CEDAR RIDGE APTS
151,KAUFFMAN APARTMENTS
153,WYOMISSING PARK APARTMENT
161,Lakeside Manors Condo One
162,Sailboat I
163,Sailboat II
164,Dr. Kennedy Homes
165,LAKE HARBOUR TOWERS NORTH
166,THE SAND CAPER
167,CALUSA BAY
168,REUNION RESORT AND CLUB
169,Shipps Landing
170,KINGS CROWN CONDOMINIUM
171,SEASHELLS OF SANIBEL
172,THE BOULEVARD CLUB
173,WORTHINGTON COUNTRY CLUB
174,Eagle Trace at Reunion
175,REUNION WEST PROPERTY OWNERS ASSOCIATION
176,Spectrum at Reunion
177,Commodore Club
178,The Bear's Den at Reunion
181,Reunion Village
182,Sunset Cay
183,BLIND PASS CONDOS
184,AMBASSADORS CONDOMINIUM A
186,AXIS CONDOS
187,RESIDENCES AT RIVERWALK
188,MIRAGE AT SAILBOAT COVE
190,Sunset Bay at Bon Secour
192,MERRY PLACE
193,Palmetto Place
194,Royal Palm Place
195,The Mirage
196,THE MOORINGS CONDOMINIUM
199,Calusa Harbour
200,Summerville Resort
201,Sandy Shores
202,Hammock Bay
203,P1O Banyan Trace Condominium
204,P1O Dela Park Place Condominium
205,Infinity at Hammock Bay
207,ONE 501
209,BARTRAM LAKES ASSISTED LIVING
211,ECHO BRICKELL
215,PINNACLE AT TARPON RIVER
217,DARLINGTON FARMS
218,THE VIEWS
221,BALDWIN GROVE
222,BEACON GLEN
230,MARQUETTE MANOR
234,REDDING
237,SAN MARCO
244,Oceania V
245,VERSANTE
246,SCHRIEVER AFB
247,TRADITION APARTMENTS
248,RIVER QUARRY
250,PARKVIEW EAST
251,AVENUE C APARTMENTS
254,EAST PARK
257,SUMMER BRIDGE APARTMENTS
258,GRAYSTONE HEIGHTS APARTMENTS
259,722 CONSTITUTION DR
260,VILLAGE ON MAIN
261,ESTATES AT HILLSIDE GARDEN
262,12 FIFTY 5 APARTMENTS
263,2150 ARIZONA AVENUE SOUTH APTS
264,9920 CAMELBACK CONDOS
265,ADERRA CONDOS
266,ADIAMO PALM VALLEY
268,ALANZA PLACE
269,ALDEA AT ESTRELLA FALLS
270,ALEXAN AT FRANK LLOYD WRI
271,ALEXAN METROPOINTE
272,ARROWHEAD SUMMIT
274,AVENTURA
275,AVIANO AT DESERT RIDGE
276,AZUL AT SPECTRUM
277,BALERA AT FIREROCK
278,BELAFLORA
279,BILTMORE JEWEL
280,BORREGO AT SPECTRUM
282,BROADSTONE STETSON EAST
283,BUNGALOWS-MCMILLIAN MESA
284,CANTERA
285,CAPRI ON CAMELBACK
286,CARINO VILLAS
287,CITI ON CAMELBACK
288,CITRINE APARTMENTS
290,CORRIENTE CONDOS
291,COURTYARDS AT DESERT PARK
292,DESERT MIRAGE
293,DESERT PARKS VISTA
294,DESERT SANDS APARTMENTS
295,ELEVATION
296,ENCLAVE AT ARROWHEAD
297,ESTATES ON MARYLAND
298,FAIRFIELD WYNGATE
300,HOMESTEAD AT TALKING GLASS APARTMENTS
301,INSPIRE ON EARLL
302,IRONHORSE AT TRAMONTO
